,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Production Occupations,"Miscellaneous Textile, Apparel, and Furnishings Workers",93,75,12,221,8,23.27,25.08,11.92,27.64,1.66,7.79,9.38,11.1,16.56,1.52
Production Occupations,"Model Makers and Patternmakers, Metal and Plastic",1,2,0,0,0,,0.73,,,,,0.58,,,
Production Occupations,"Model Makers and Patternmakers, Wood",115,0,117,1,4,114.7,,,,,61.52,,,,
Production Occupations,"Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",120,284,314,11,11,2.21,1.22,2,0.59,2.16,1.51,1.21,2,0.57,1.33
Production Occupations,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0,0,175,0,1,,,1.01,0,0.41,,,1.01,0,0.28
Production Occupations,Packaging and Filling Machine Operators and Tenders,1046,1395,629,241,626,13.58,3.37,2.02,6.33,20.88,6.68,1.94,1.41,5.18,14.61
Production Occupations,Painting Workers,336,114,178,39,100,0.34,0.1,3.17,7.82,24.99,0.2,0.06,2.29,5.71,12.9
Production Occupations,Photographic Process Workers and Processing Machine Operators,0,0,0,0,0,,,,,,,,,,
Production Occupations,"Power Plant Operators, Distributors, and Dispatchers",1293,558,978,415,36,38.03,18.6,25.07,15.95,35.63,16.11,8.26,7.42,8.69,31.22
Production Occupations,Printing Workers,23,162,3584,11,5,1.33,1.02,8.47,0.76,,0.83,1.02,8.45,0.52,
Production Occupations,Semiconductor Processing Technicians,74,0,0,1,0,74.02,,,,,28.03,,,,
Production Occupations,Sewing Machine Operators,0,0,0,0,0,,0,,,,,0,,,
Production Occupations,Shoe and Leather Workers,1,0,0,0,2,,,,,,,,,,
Production Occupations,Stationary Engineers and Boiler Operators,0,44,111,0,0,0,1.75,3.16,0,0,0,1.75,3.16,0,0
Production Occupations,Structural Metal Fabricators and Fitters,34,132,3,3,1,11.31,8.8,,2.54,,6.82,5.05,,2.48,
Production Occupations,"Tailors, Dressmakers, and Sewers",0,0,1,1,0,,,,,,,,,,
Production Occupations,"Textile Machine Setters, Operators, and Tenders",10,3,6,7,10,9.86,,5.51,,,9.22,,5.38,,
Production Occupations,Tool and Die Makers,8,1,1,1,1,8.43,,,,,7.62,,,,
Production Occupations,Water and Wastewater Treatment Plant and System Operators,36,197,98,311,220,17.76,28.13,24.51,14.16,54.97,9.13,12.49,11.99,7.45,22.31
Production Occupations,"Welding, Soldering, and Brazing Workers",1148,736,1275,1118,905,12.48,4.02,3.45,15.1,9.73,7.34,2.46,2.44,8.69,5.81
Production Occupations,"Woodworking Machine Setters, Operators, and Tenders",90,54,395,245,12,,,98.83,22.24,6.24,,,12.42,10.23,5.73
Protective Service Occupations,Animal Control Workers,419,325,70,0,0,104.69,81.14,,,,43.2,42.46,,,
Protective Service Occupations,Detectives and Criminal Investigators,1,6,1,14,6,,,,,,,,,,
Protective Service Occupations,Fire Inspectors,1,2,1,1,2,,,,,,,,,,
Protective Service Occupations,Firefighters,1,0,0,0,0,,,,,,,,,,
Protective Service Occupations,First-Line Supervisors of Firefighting and Prevention Workers,1,5,6,2,16,,5.12,,,,,5.12,,,
Protective Service Occupations,First-Line Supervisors of Law Enforcement Workers,458,1,1,23,19,,,,,,,,,,
Protective Service Occupations,Fish and Game Wardens,1,0,0,0,0,,,,,,,,,,
Protective Service Occupations,"Miscellaneous First-Line Supervisors, Protective Service Workers",603,891,479,5,12,16.31,15.37,4.39,0.25,12.43,11.78,11.27,1.8,0.17,6.79
Protective Service Occupations,Miscellaneous Protective Service Workers,9,42,138,101,528,0.78,1.37,7.66,7.24,12.57,0.73,0.82,3.98,3.95,8.26
Protective Service Occupations,Parking Enforcement Workers,0,4,1,0,0,,,,,,,,,,
Protective Service Occupations,Police Officers,261,5,3,6,1,21.76,,,,,5.15,,,,
Protective Service Occupations,Private Detectives and Investigators,2,0,1,0,0,,,,0,0.25,,,,0,0.23
Protective Service Occupations,Security Guards and Gambling Surveillance Officers,6694,19072,16415,14291,7382,11.25,12.65,18.28,27.07,61.52,4.79,4.4,6.01,10.35,36.93
Sales and Related Occupations,Advertising Sales Agents,18,40,823,82,160,9.13,20.2,32.92,20.45,10.69,7.91,10.79,16.4,8.25,6.11
Sales and Related Occupations,Cashiers,34022,29292,27759,37659,25672,92.2,70.92,127.34,110.76,67.56,57.72,57.7,80.23,81.18,48.64
Sales and Related Occupations,Counter and Rental Clerks and Parts Salespersons,1018,200,1095,957,475,12.57,5.01,13.69,5.76,12.17,10.51,4.41,13.12,3.83,8.8
Sales and Related Occupations,First-Line Supervisors of Sales Workers,21454,11893,21244,11592,11912,12.79,7.33,20.1,8.3,7.7,7,4.07,7.21,4.68,4.19
Sales and Related Occupations,Insurance Sales Agents,2727,1791,1927,2353,1039,12.34,12.1,7.83,7.15,8.66,6.97,5.71,4.16,3.95,4.6
Sales and Related Occupations,"Miscellaneous Sales Representatives, Services",19438,30989,37188,30104,12201,35.41,20.81,31.65,29.06,20.44,14.47,11.19,14.78,13.06,9.03
Sales and Related Occupations,Miscellaneous Sales and Related Workers,323,5411,2496,1904,390,32.35,193.24,131.39,272.07,,27.83,152.8,85.07,66.05,
Sales and Related Occupations,"Models, Demonstrators, and Product Promoters",1721,2234,1925,903,182,10.3,11.01,11,9.41,10.74,6.62,5.96,7.13,6.24,6.79
Sales and Related Occupations,Real Estate Brokers and Sales Agents,858,1017,472,589,548,12.25,15.41,9.08,13.71,9.61,7.03,10.39,5.22,8.98,5.09
Sales and Related Occupations,Retail Salespersons,132412,123974,85786,27324,25551,34.82,23.49,14.87,8.44,9.62,14.59,12.86,8.61,5.16,6.02
Sales and Related Occupations,Sales Engineers,674,225,1483,1120,544,56.16,7.49,17.66,28.71,9.9,14.07,4.26,7.1,11.59,7.12
Sales and Related Occupations,"Sales Representatives, Wholesale and Manufacturing",5383,9860,7872,5426,4128,14.55,14.85,11.25,18.03,14.79,8.88,5.38,8.42,8.38,7.97
Sales and Related Occupations,"Securities, Commodities, and Financial Services Sales Agents",1112,1145,230,5050,5770,38.34,22.89,12.75,35.31,40.07,27.74,14.35,10.59,21.09,24.59
Sales and Related Occupations,Telemarketers,265,247,367,451,428,265.02,61.74,61.24,45.09,71.29,264.34,35.1,26.94,23.37,37.31
Sales and Related Occupations,Travel Agents,0,39,135,8,77,0.1,7.77,4.52,7.59,77.12,0.1,2.04,4.42,7.18,50
Transportation and Material Moving Occupations,Air Traffic Controllers and Airfield Operations Specialists,0,2,2,79,61,,,2.39,39.5,60.73,,,2.31,19.95,30.69
Transportation and Material Moving Occupations,Aircraft Pilots and Flight Engineers,0,0,0,1,4,,,,,,,,,,
Transportation and Material Moving Occupations,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1,3,0,0,0,,3.25,,,,,2.6,,,
Transportation and Material Moving Occupations,Bridge and Lock Tenders,10,101,11,1,5,,100.74,10.83,,,,43.07,10.7,,
Transportation and Material Moving Occupations,Crane and Tower Operators,95,2,1,4,32,23.63,,,1.41,6.35,10.84,,,0.8,5.08
Transportation and Material Moving Occupations,Driver/Sales Workers and Truck Drivers,305643,724854,320169,373024,392976,27.92,26.22,16.48,26.33,27.94,14.79,14.2,9.99,16.08,18.64
Transportation and Material Moving Occupations,First-Line Supervisors of Transportation and Material Moving Workers,6729,4395,5031,3740,2573,21.43,7.99,3.63,7.79,4.43,10.5,3.9,2.58,4.63,2.76
Transportation and Material Moving Occupations,Flight Attendants,152,0,0,0,0,11.68,,,,,11.27,,,,
Transportation and Material Moving Occupations,Hoist and Winch Operators,2,2,97,0,0,,,19.39,0.36,,,,9.85,0.2,
Transportation and Material Moving Occupations,Industrial Truck and Tractor Operators,9723,9196,3947,3896,3468,9.65,4.72,2.16,7.55,4.25,4.5,2.54,1.32,4.1,2.22
Transportation and Material Moving Occupations,Laborers and Material Movers,185768,49321,35112,40182,42609,20.67,6.3,4.06,5.4,5.79,9.75,3.41,2.48,2.82,3.04
Transportation and Material Moving Occupations,Locomotive Engineers and Operators,0,0,1,0,8,,,,,2.67,,,,,1.87
Transportation and Material Moving Occupations,Miscellaneous Material Moving Workers,1,0,1,0,1,,,,,,,,,,
Transportation and Material Moving Occupations,Miscellaneous Motor Vehicle Operators,31,4,1,552,171,,4.33,0.58,69.04,42.86,,3.9,0.58,46.83,20
Transportation and Material Moving Occupations,Miscellaneous Transportation Workers,0,0,0,0,1,,,,,,,,,,
Transportation and Material Moving Occupations,Parking Attendants,20,249,67,186,41,1.64,2.47,16.72,6.64,4.14,0.66,1.77,8.83,2.24,1.18
Transportation and Material Moving Occupations,Passenger Attendants,38537,22907,24398,24902,20562,147.65,125.17,173.03,136.83,142.79,103.75,100.32,108.34,105.65,103.77
Transportation and Material Moving Occupations,Passenger Vehicle Drivers,490686,715740,354373,467053,534914,88.43,100.44,57.33,62.27,56.68,58.6,74.49,40.81,46.05,43.65
Transportation and Material Moving Occupations,Pumping Station Operators,0,0,0,3,0,,,,,,,,,,
Transportation and Material Moving Occupations,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",1944,292,0,0,15,81.01,,,,7.53,73.02,,,,3.95
Transportation and Material Moving Occupations,Railroad Conductors and Yardmasters,2,12,1,3,19,,,,,9.48,,,,,6.28
Transportation and Material Moving Occupations,Refuse and Recyclable Material Collectors,15,3,1,0,0,,,,,0,,,,,0
Transportation and Material Moving Occupations,Sailors and Marine Oilers,83,19,54,116,17,,,,,,,,,,
Transportation and Material Moving Occupations,Ship Engineers,0,0,1,1,0,,,,,,,,,,
Transportation and Material Moving Occupations,Ship and Boat Captains and Operators,300,21,9,5,59,12.52,20.87,3.1,,14.78,5.77,1.81,2.08,,4.91
Transportation and Material Moving Occupations,Subway and Streetcar Operators,1,1,0,1,5,,,,,,,,,,
Transportation and Material Moving Occupations,"Tank Car, Truck, and Ship Loaders",60,2,0,0,0,5.42,,,,,3.17,,,,
Transportation and Material Moving Occupations,Traffic Technicians,0,0,0,0,6,,,,,,,,,,
Transportation and Material Moving Occupations,Transportation Inspectors,0,337,300,376,6,0,6.61,60.1,47.05,,0,2.59,23.67,21.36,
Transportation and Material Moving Occupations,Transportation Service Attendants,153,1045,58,42,2,25.58,38.7,29.01,5.27,,20.44,30.98,23.99,4.79,
