,,Spend,Spend,Spend,Spend,Spend,Gross CPA,Gross CPA,Gross CPA,Gross CPA,Gross CPA,NET CPA,NET CPA,NET CPA,NET CPA,NET CPA
CATEGORY,SUB_CATEGORY,OCT25_CD_SPEND,NOV25_CD_SPEND,DEC25_CD_SPEND,JAN26_CD_SPEND,FEB26_CD_SPEND,OCT25_GrossCPA,NOV25_GrossCPA,DEC25_GrossCPA,JAN26_GrossCPA,FEB26_GrossCPA,OCT25_NET_CPA,NOV25_NET_CPA,DEC25_NET_CPA,JAN26_NET_CPA,FEB26_NET_CPA
Community and Social Service Occupations,Social Workers,6435,6169,2255,3264,5467,13.69,29.1,30.9,31.69,22.59,6.73,15.09,14.22,15.58,11.91
Computer and Mathematical Occupations,Actuaries,2,2,0,0,101,1.56,,,,25.28,1.25,,,,6
Computer and Mathematical Occupations,Computer Support Specialists,4309,4740,5497,4613,3118,14.66,8.78,7.86,24.94,21.65,4.54,3.15,4.09,10.05,9.48
Computer and Mathematical Occupations,Computer and Information Analysts,3967,3344,20667,3748,6079,4.51,7.45,3,6.63,132.14,2,2.59,2.65,2.59,65.26
Computer and Mathematical Occupations,Computer and Information Research Scientists,472,294,4078,86,2,94.34,42.05,5.18,4.52,1,57.17,41.32,4.45,1.47,0.92
Computer and Mathematical Occupations,Data Scientists,19317,13037,13008,1084,3638,5.63,37.35,7.85,4.32,7.5,0.14,27.29,6.25,2.63,2.69
Computer and Mathematical Occupations,Database and Network Administrators and Architects,3447,6016,7773,4559,1930,10.84,9.64,6.42,21.3,14.73,7.29,3.67,4.12,10.65,9.07
Computer and Mathematical Occupations,Miscellaneous Computer Occupations,4592,7334,12502,6236,8476,17.8,13.51,5.85,11.12,11.12,6.06,5.18,3.81,4.73,5.56
Computer and Mathematical Occupations,Miscellaneous Mathematical Science Occupations,0,16,1,1,0,,,,,,,,,,
Computer and Mathematical Occupations,Operations Research Analysts,27,384,3941,1394,319,1.81,3.1,2.57,9.05,5.6,0.94,1.28,2.5,2.02,4.65
Computer and Mathematical Occupations,"Software and Web Developers, Programmers, and Testers",67424,72062,149490,44090,31239,7.66,11.33,5.82,4.78,5.42,0.75,5.96,3.55,2.63,3.73
Computer and Mathematical Occupations,Statisticians,7,10,4,20,1,,10.22,,,,,3.59,,,
Construction and Extraction Occupations,Boilermakers,1,4,1,22,0,,,,,,,,,,
Construction and Extraction Occupations,"Brickmasons, Blockmasons, and Stonemasons",11,1,9,67,49,,,4.49,3.17,4.95,,,4.49,2.62,4.61
Construction and Extraction Occupations,Carpenters,3022,1590,527,3663,1204,13.92,8.28,9.77,7.78,5.63,7.95,4.43,5.45,5.11,4.08
Construction and Extraction Occupations,"Carpet, Floor, and Tile Installers and Finishers",339,646,7,243,103,113.1,323.08,,9.74,3.23,41.63,115.74,,5.48,2.95
Construction and Extraction Occupations,"Cement Masons, Concrete Finishers, and Terrazzo Workers",28,29,307,362,3201,27.86,14.46,17.08,2.48,9.5,10.61,13.68,8.03,2.02,5.62
Construction and Extraction Occupations,Construction Equipment Operators,3276,4659,3633,3790,5460,22.75,19.09,11.11,9.22,9.22,10.43,10.6,4.69,5.38,3.98
Construction and Extraction Occupations,Construction Laborers,3222,2722,4173,5819,3041,14.51,10.89,11.72,5.52,3.06,7.18,4.96,5.92,3.58,2.69
Construction and Extraction Occupations,Construction and Building Inspectors,4,4,29,33,16,,4.05,14.69,,8.09,,3.4,10,,4.84
Construction and Extraction Occupations,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",289,813,177,152,506,24.09,25.41,44.25,15.23,36.16,10.91,11.57,21.48,8.69,6.02
Construction and Extraction Occupations,"Drywall Installers, Ceiling Tile Installers, and Tapers",931,1468,875,1406,2453,20.23,10.41,8.25,8.79,11.15,11.72,5.27,4.29,5.55,6.42
Construction and Extraction Occupations,Electricians,3376,4642,5056,3446,2195,24.11,20.45,14.91,10.74,8.35,12.26,9.64,7.19,5.71,5.49
Construction and Extraction Occupations,Elevator and Escalator Installers and Repairers,0,0,1,1,1,,,,0.26,,,,,0.26,
Construction and Extraction Occupations,"Explosives Workers, Ordnance Handling Experts, and Blasters",12,6,0,1,1,,,,,,,,,,
Construction and Extraction Occupations,Fence Erectors,432,314,3,5,87,,,,,2.81,,,,,2.38
Construction and Extraction Occupations,First-Line Supervisors of Construction Trades and Extraction Workers,2307,3129,1567,4153,2658,12.08,13.97,13.39,5.91,4.47,7.24,5.79,5.78,3.69,3.73
Construction and Extraction Occupations,Glaziers,0,0,0,55,3,,,,5.48,1.47,,,,3.87,1.01
Construction and Extraction Occupations,Hazardous Materials Removal Workers,0,0,2,0,1,,,,,,,,,,
Construction and Extraction Occupations,"Helpers, Construction Trades",1730,2814,1995,4193,3776,20.35,15.29,10.39,7.39,4.5,11.28,8.24,5.35,4.63,3.39
Construction and Extraction Occupations,Helpers--Extraction Workers,1570,1588,1163,1903,999,4.7,5.65,4.2,4.57,5.2,2.95,3.39,2.78,3.01,3.17
Construction and Extraction Occupations,Highway Maintenance Workers,4,4,6,74,382,,,,3.08,2.91,,,,2.4,2.35
Construction and Extraction Occupations,Insulation Workers,0,39,0,0,0,,4.89,,0,,,2.49,,0,
Construction and Extraction Occupations,Miscellaneous Construction and Related Workers,30,196,390,8,43,30.44,15.06,27.84,8.07,10.7,26.45,13.68,27.81,7.85,7.48
Construction and Extraction Occupations,Miscellaneous Extraction Workers,0,0,0,0,0,,,,,,,,,,
Construction and Extraction Occupations,Painters and Paperhangers,3347,1909,677,525,555,111.57,31.3,6.63,6.65,7.7,40.8,12.56,3.76,4.37,3.57
Construction and Extraction Occupations,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",1413,1351,766,903,1112,18.35,11.17,13.44,7.65,9.19,8.94,5.81,8.82,4.8,7.05
Construction and Extraction Occupations,Rail-Track Laying and Maintenance Equipment Operators,0,73,29,0,0,,36.6,14.32,,,,16.74,6.92,,
Construction and Extraction Occupations,Reinforcing Iron and Rebar Workers,1026,304,360,692,97,53.97,43.4,180.11,36.4,,31.41,29.58,82.21,20.11,
Construction and Extraction Occupations,Roofers,1242,472,0,0,0,45.99,118.04,,,,19.16,45.78,,,
Construction and Extraction Occupations,"Roustabouts, Oil and Gas",16,64,7,1,4,15.84,31.92,,,,14.79,18.61,,,
